System,Organ
Circulatory System,Heart
Circulatory System,"Blood vessels (Arteries, Veins, Capillaries)"
Digestive System,Mouth
Digestive System,Esophagus
Digestive System,Stomach
Digestive System,Small intestine
Digestive System,Large intestine (Colon)
Digestive System,Liver
Digestive System,Pancreas
Digestive System,Gallbladder
Endocrine System,Hypothalamus
Endocrine System,Pituitary gland
Endocrine System,Thyroid gland
Endocrine System,Parathyroid glands
Endocrine System,Adrenal glands
Endocrine System,Pineal gland
Immune System,Thymus
Immune System,Bone marrow
Immune System,Spleen
Immune System,Lymph nodes
Immune System,Tonsils
Integumentary System,Skin
Integumentary System,Hair
Integumentary System,Nails
Muscular System,Skeletal muscles
Muscular System,Smooth muscles
Muscular System,Cardiac muscles
Nervous System,Brain
Nervous System,Spinal cord
Nervous System,Nerves
Reproductive System,Testes
Reproductive System,Prostate
Reproductive System,Penis
Reproductive System,Ovaries
Reproductive System,Fallopian tubes
Reproductive System,Uterus
Reproductive System,Vagina
Respiratory System,Nose
Respiratory System,Trachea
Respiratory System,Lungs
Skeletal System,Bones
Skeletal System,Joints
Skeletal System,Cartilage
Urinary System,Kidneys
Urinary System,Ureters
Urinary System,Bladder
Urinary System,Urethra